event,aggregate,app,when,payload,consumers,delivery,ordering,domain_group
Budget.Reserved,HRP Budget Reservation,ione_hrp,预算预占成功,"aggregate_id,version,occurred_at,actor,dimensions,data","purchase,contract,expense",At least once,Per aggregate,Finance
Budget.Released,HRP Budget Release Entry,ione_hrp,预算金额释放,"aggregate_id,version,occurred_at,actor,dimensions,data","budget,source",At least once,Per aggregate,Finance
Budget.Committed,HRP Budget Commitment,ione_hrp,采购订单或合同形成承诺,"aggregate_id,version,occurred_at,actor,dimensions,data","contract,purchase",At least once,Per aggregate,Finance
Budget.Actualized,HRP Budget Actualization,ione_hrp,发票或付款形成实际,"aggregate_id,version,occurred_at,actor,dimensions,data","finance,cost",At least once,Per aggregate,Finance
Contract.Effective,HRP Contract,ione_hrp,合同生效,"aggregate_id,version,occurred_at,actor,dimensions,data","budget,procurement,treasury",At least once,Per aggregate,Supply
Stock.PatientConsumed,HRP High Value Usage,ione_hrp,高值耗材患者消耗,"aggregate_id,version,occurred_at,actor,dimensions,data","his,cost,billing",At least once,Per aggregate,Supply
Asset.Accepted,HRP Asset Acceptance,ione_hrp,资产验收,"aggregate_id,version,occurred_at,actor,dimensions,data","erpnext_asset,finance",At least once,Per aggregate,Asset
Credential.Expired,HRP Credential Alert,ione_hrp,人员资质到期,"aggregate_id,version,occurred_at,actor,dimensions,data","hr,medical_affairs",At least once,Per aggregate,People
Bonus.Published,HRP Bonus Calculation,ione_hrp,奖金发布到薪资,"aggregate_id,version,occurred_at,actor,dimensions,data","hrms,payroll",At least once,Per aggregate,People
Audit.FindingIssued,HRP Audit Finding,ione_hrp,审计发现下发,"aggregate_id,version,occurred_at,actor,dimensions,data","remediation,notification",At least once,Per aggregate,Governance
Integration.MessageFailed,HRP Integration Error,ione_hrp,接口消息失败,"aggregate_id,version,occurred_at,actor,dimensions,data","retry,alert",At least once,Per aggregate,Platform
FeatureFlag.Submitted,HRP Feature Flag,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
CodeSegment.Submitted,HRP Code Segment,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
AmountThreshold.Submitted,HRP Amount Threshold,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
ReferenceLink.Submitted,HRP Reference Link,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
ClinicalDepartment.Submitted,HRP Clinical Department,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
Ward.Submitted,HRP Ward,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
OrganizationVersion.Submitted,HRP Organization Version,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
MasterDataRequest.Submitted,HRP Master Data Request,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
ExternalCodeMapping.Submitted,HRP External Code Mapping,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
DataSteward.Submitted,HRP Data Steward,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
DataQualityIssue.Submitted,HRP Data Quality Issue,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
DictionaryValue.Submitted,HRP Dictionary Value,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
BusinessDimension.Submitted,HRP Business Dimension,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
DimensionValue.Submitted,HRP Dimension Value,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
Delegation.Submitted,HRP Delegation,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
WorkflowExtension.Submitted,HRP Workflow Extension,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
SLAEscalation.Submitted,HRP SLA Escalation,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Core
BudgetScenario.Submitted,HRP Budget Scenario,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetVersion.Submitted,HRP Budget Version,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetPlan.Submitted,HRP Budget Plan,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetTarget.Submitted,HRP Budget Target,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetSubmission.Submitted,HRP Budget Submission,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetReview.Submitted,HRP Budget Review,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetApproval.Submitted,HRP Budget Approval,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetRelease.Submitted,HRP Budget Release,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetReservation.Submitted,HRP Budget Reservation,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetCommitment.Submitted,HRP Budget Commitment,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetActualization.Submitted,HRP Budget Actualization,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetReleaseEntry.Submitted,HRP Budget Release Entry,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetAdjustment.Submitted,HRP Budget Adjustment,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetTransfer.Submitted,HRP Budget Transfer,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BudgetForecast.Submitted,HRP Budget Forecast,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
ExpensePreapproval.Submitted,HRP Expense Preapproval,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
TravelRequest.Submitted,HRP Travel Request,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
TravelItinerary.Submitted,HRP Travel Itinerary,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
CashAdvance.Submitted,HRP Cash Advance,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
ExpenseClaimExtension.Submitted,HRP Expense Claim Extension,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
InvoiceVerification.Submitted,HRP Invoice Verification,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
DuplicateInvoiceHash.Submitted,HRP Duplicate Invoice Hash,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
ReimbursementBatch.Submitted,HRP Reimbursement Batch,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
PersonalAccountStatement.Submitted,HRP Personal Account Statement,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
ExpenseException.Submitted,HRP Expense Exception,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
CashPlan.Submitted,HRP Cash Plan,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
PaymentRequest.Submitted,HRP Payment Request,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
PaymentBatch.Submitted,HRP Payment Batch,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
PaymentInstruction.Submitted,HRP Payment Instruction,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BankStatementImport.Submitted,HRP Bank Statement Import,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
BankReconciliationTask.Submitted,HRP Bank Reconciliation Task,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
