task_id,phase,app,epic,title,priority,depends_on,size,deliverables,acceptance_criteria,test_requirements,status,domain_group
COD-001,0-工程基线,ione_hrp,工程基础,建立mono-repo与分支保护,P0,,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立mono-repo与分支保护完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-002,0-工程基线,ione_hrp,工程基础,锁定Frappe/ERPNext/HRMS版本与SHA,P0,COD-001,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,锁定Frappe/ERPNext/HRMS版本与SHA完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-003,0-工程基线,ione_hrp,工程基础,完善单应用多模块骨架,P0,COD-002,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,完善ione_hrp单应用36模块骨架完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-004,0-工程基线,ione_hrp,工程基础,配置ruff/pyright/eslint/prettier,P0,COD-003,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,配置ruff/pyright/eslint/prettier完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-005,0-工程基线,ione_hrp,工程基础,建立CI单元/集成/前端测试流水线,P0,COD-004,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立CI单元/集成/前端测试流水线完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-006,0-工程基线,ione_hrp,工程基础,建立开发测试演示环境,P0,COD-005,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立开发测试演示环境完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-007,0-工程基线,ione_hrp,工程基础,建立fixtures导出规范,P0,COD-006,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立fixtures导出规范完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-008,0-工程基线,ione_hrp,工程基础,建立ADR和变更治理,P0,COD-007,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立ADR和变更治理完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-009,0-工程基线,ione_hrp,工程基础,建立统一异常和错误码,P0,COD-008,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立统一异常和错误码完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-010,0-工程基线,ione_hrp,工程基础,建立审计上下文与关联ID,P0,COD-009,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立审计上下文与关联ID完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-011,0-工程基线,ione_hrp,工程基础,建立领域服务基类,P0,COD-010,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立领域服务基类完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-012,0-工程基线,ione_hrp,工程基础,建立不可变台账基类,P0,COD-011,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立不可变台账基类完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-013,0-工程基线,ione_hrp,工程基础,建立Outbox/Inbox基类,P0,COD-012,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立Outbox/Inbox基类完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-014,0-工程基线,ione_hrp,工程基础,建立测试数据工厂,P0,COD-013,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立测试数据工厂完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-015,0-工程基线,ione_hrp,工程基础,建立性能基线与压测脚本,P0,COD-014,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立性能基线与压测脚本完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-016,0-工程基线,ione_hrp,工程基础,建立安全扫描和SBOM,P0,COD-015,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,建立安全扫描和SBOM完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Platform
COD-017,1-核心闭环,ione_hrp,HRP核心平台,实现HRP System Settings,P0,COD-001,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现HRP System Settings完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Core
COD-018,1-核心闭环,ione_hrp,HRP核心平台,实现组织层级与版本,P0,COD-017,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现组织层级与版本完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Done,Core
COD-019,1-核心闭环,ione_hrp,HRP核心平台,实现组织与标准Department/Cost Center映射,P0,COD-018,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现组织与标准Department/Cost Center映射完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,In Progress,Core
COD-020,1-核心闭环,ione_hrp,HRP核心平台,实现主数据域和变更申请,P0,COD-019,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现主数据域和变更申请完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
COD-021,1-核心闭环,ione_hrp,HRP核心平台,实现外部编码映射,P0,COD-020,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现外部编码映射完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
COD-022,1-核心闭环,ione_hrp,HRP核心平台,实现主数据质量规则,P0,COD-021,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现主数据质量规则完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
COD-023,1-核心闭环,ione_hrp,HRP核心平台,实现统一编号服务,P0,COD-022,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现统一编号服务完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
COD-024,1-核心闭环,ione_hrp,HRP核心平台,实现访问范围和数据权限查询,P0,COD-023,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现访问范围和数据权限查询完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
COD-025,1-核心闭环,ione_hrp,HRP核心平台,实现审批矩阵解析器,P0,COD-024,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现审批矩阵解析器完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
COD-026,1-核心闭环,ione_hrp,HRP核心平台,实现审批委托,P0,COD-025,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现审批委托完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
COD-027,1-核心闭环,ione_hrp,HRP核心平台,实现不相容职责校验,P0,COD-026,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现不相容职责校验完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
COD-028,1-核心闭环,ione_hrp,HRP核心平台,实现SLA和升级,P0,COD-027,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现SLA和升级完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
